city_id,city_name_nl,city_name_en,city_name_fr,city_name_de,province_or_region,count_boroughs,pop_in_2000,pop_in_2024,area_km2,pop_per_km2,prosperity_index,pop_increase_2024v2000_percent
455,Kampenhout,Kampenhout,Kampenhout,Kampenhout,Vlaams-Brabant,4,10732,12528,33.65,372,123.7,16.73
566,Poperinge,Poperinge,Poperinge,Poperinge,West-Vlaanderen,6,19254,19921,120.37,165,92.8,3.46
47,Putte,Putte,Putte,Putte,Antwerpen,2,15394,18914,35.16,538,113.3,22.87
58,Stabroek,Stabroek,Stabroek,Stabroek,Antwerpen,2,17143,18826,21.42,879,114.5,9.82
155,Vloesberg,Flobecq,Flobecq,Flobecq,Henegouwen,1,3194,3434,23.28,148,104.1,7.51
162,Bocholt,Bocholt,Bocholt,Bocholt,Limburg,3,11887,13753,59.29,232,93.8,15.7
186,Maaseik,Maaseik,Maaseik,Maaseik,Limburg,3,22852,25823,77.18,335,99.5,13.0
210,Bitsingen,Bassenge,Bassenge,Bassenge,Luik,6,8176,9028,38.21,236,98.7,10.42
215,Burg-Reuland,Burg-Reuland,Burg-Reuland,Burg-Reuland,Luik,2,3787,3961,109.84,36,97.1,4.59
225,Engis,Engis,Engis,Engis,Luik,3,5689,6296,27.74,227,87.0,10.67
229,Ferrières,Ferrières,Ferrières,Ferrières,Luik,5,4208,5122,57.06,90,103.4,21.72
261,Remicourt,Remicourt,Remicourt,Remicourt,Luik,5,4753,6009,22.83,263,111.1,26.43
276,Trooz,Trooz,Trooz,Trooz,Luik,3,7689,8058,24.26,332,100.8,4.8
340,Fernelmont,Fernelmont,Fernelmont,Fernelmont,Namen,10,6298,8210,65.82,125,112.9,30.36
410,Sint-Gillis-Waas,Sint-Gillis-Waas,Sint-Gillis-Waas,Sint-Gillis-Waas,Oost-Vlaanderen,4,17302,20144,55.49,363,111.3,16.43
489,Wezembeek-Oppem,Wezembeek-Oppem,Wezembeek-Oppem,Wezembeek-Oppem,Vlaams-Brabant,1,13622,14742,6.86,2149,125.7,8.22
556,Mesen,Mesen,Messines,Mesen,West-Vlaanderen,1,964,1075,3.6,299,78.7,11.51
16,Duffel,Duffel,Duffel,Duffel,Antwerpen,1,15971,18062,22.6,799,113.6,13.09
136,Manage,Manage,Manage,Manage,Henegouwen,5,21812,24108,19.43,1241,80.8,10.53
139,Momignies,Momignies,Momignies,Momignies,Henegouwen,7,5128,5234,86.01,61,76.7,2.07
161,Bilzen,Bilzen,Bilzen,Bilzen,Limburg,13,29355,32782,75.98,431,102.8,11.67
177,Heusden-Zolder,Heusden-Zolder,Heusden-Zolder,Heusden-Zolder,Limburg,2,30105,35017,53.4,656,97.7,16.32
192,Riemst,Riemst,Riemst,Riemst,Limburg,10,15617,16896,58.06,291,101.6,8.19
193,Sint-Truiden,Sint-Truiden,Saint-Trond,Sint-Truiden,Limburg,15,37147,41469,107.12,387,103.2,11.63
198,Zonhoven,Zonhoven,Zonhoven,Zonhoven,Limburg,1,18940,21845,39.67,551,109.6,15.34
250,Marchin,Marchin,Marchin,Marchin,Luik,2,4935,5612,30.16,186,104.7,13.72
269,Sprimont,Sprimont,Sprimont,Sprimont,Luik,5,12426,15141,74.46,203,115.0,21.85
285,Aarlen,Arlon,Arlon,Arlon,Luxemburg,6,24791,31310,119.06,263,115.3,26.3
314,Nassogne,Nassogne,Nassogne,Nassogne,Luxemburg,8,4760,5735,113.11,51,94.4,20.48
350,Houyet,Houyet,Houyet,Houyet,Namen,10,4433,5183,122.85,42,91.6,16.92
353,Mettet,Mettet,Mettet,Mettet,Namen,9,11317,13529,116.97,116,99.2,19.55
373,Buggenhout,Buggenhout,Buggenhout,Buggenhout,Oost-Vlaanderen,2,13752,14957,25.64,583,116.0,8.76
402,Melle,Melle,Melle,Melle,Oost-Vlaanderen,2,10349,11981,15.34,781,119.2,15.77
432,Begijnendijk,Begijnendijk,Begijnendijk,Begijnendijk,Vlaams-Brabant,2,9088,10615,17.66,601,115.8,16.8
552,Lendelede,Lendelede,Lendelede,Lendelede,West-Vlaanderen,1,5502,5881,13.27,443,103.5,6.89
11,Bornem,Bornem,Bornem,Bornem,Antwerpen,4,19939,22076,46.19,478,118.9,10.72
24,Herenthout,Herenthout,Herenthout,Herenthout,Antwerpen,1,8302,9454,23.61,400,105.6,13.88
128,Komen-Waasten,Comines-Warneton,Comines-Warneton,Comines-Warneton,Henegouwen,5,17564,18391,61.34,300,80.4,4.71
195,Tongeren,Tongeren,Tongres,Tongeren,Limburg,17,29723,32138,87.81,366,100.8,8.13
254,Oerle,Oreye,Oreye,Oreye,Luik,5,3317,4028,19.5,207,105.0,21.44
262,Saint-Georges-sur-Meuse,Saint-Georges-sur-Meuse,Saint-Georges-sur-Meuse,Saint-Georges-sur-Meuse,Luik,1,6785,7230,20.93,345,95.5,6.56
304,La Roche-en-Ardenne,La Roche-en-Ardenne,La Roche-en-Ardenne,La Roche-en-Ardenne,Luxemburg,6,4107,4100,148.53,28,92.5,-0.17
324,Tintigny,Tintigny,Tintigny,Tintigny,Luxemburg,4,3436,4605,81.88,56,102.7,34.02
440,Dilbeek,Dilbeek,Dilbeek,Dilbeek,Vlaams-Brabant,6,37722,44878,41.48,1082,114.9,18.97
533,Diksmuide,Diksmuide,Dixmude,Diksmuide,West-Vlaanderen,15,15443,17228,150.74,114,96.1,11.56
2,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,9,446525,544759,204.32,2666,88.0,22.0
40,Merksplas,Merksplas,Merksplas,Merksplas,Antwerpen,1,8055,8883,44.61,199,102.7,10.28
48,Puurs-Sint-Amands,Puurs-Sint-Amands,Puurs-Sint-Amands,Puurs-Sint-Amands,Antwerpen,7,23296,26957,49.14,549,117.4,15.72
130,Le Roeulx,Le Roeulx,Le Roeulx,Le Roeulx,Henegouwen,5,7931,8708,43.41,201,103.5,9.8
234,Grâce-Hollogne,Grâce-Hollogne,Grâce-Hollogne,Grâce-Hollogne,Luik,5,22503,23261,34.17,681,83.0,3.37
390,Kluisbergen,Kluisbergen,Kluisbergen,Kluisbergen,Oost-Vlaanderen,4,6086,6888,30.63,225,107.9,13.18
393,Laarne,Laarne,Laarne,Laarne,Oost-Vlaanderen,2,11610,12532,32.58,385,120.6,7.94
435,Bever,Bever,Biévène,Bever,Vlaams-Brabant,1,1980,2276,19.24,118,109.5,14.95
450,Herne,Herne,Herne,Herne,Vlaams-Brabant,3,6372,6825,44.66,153,117.4,7.11
497,Eigenbrakel,Braine-l’Alleud,Braine-l’Alleud,Braine-l’Alleud,Waals-Brabant,3,35259,40461,52.32,773,116.6,14.75
504,Kasteelbrakel,Braine-le-Château,Braine-le-Château,Braine-le-Château,Waals-Brabant,2,8994,10646,22.75,468,115.5,18.37
55,Schilde,Schilde,Schilde,Schilde,Antwerpen,2,19562,20319,36.09,563,140.4,3.87
208,Berloz,Berloz,Berloz,Berloz,Luik,3,2620,3344,14.51,230,105.5,27.63
233,Geer,Geer,Geer,Geer,Luik,7,2570,3558,23.6,151,109.4,38.44
242,Juprelle,Juprelle,Juprelle,Juprelle,Luik,8,8145,9733,35.47,274,106.1,19.5
257,Oupeye,Oupeye,Oupeye,Oupeye,Luik,7,23720,25743,36.09,713,93.1,8.53
259,Plombières,Plombières,Plombières,Plombières,Luik,5,9361,10771,53.17,203,90.7,15.06
267,Soumagne,Soumagne,Soumagne,Soumagne,Luik,6,14607,17351,27.19,638,98.8,18.79
434,Bertem,Bertem,Bertem,Bertem,Vlaams-Brabant,3,8843,10242,29.99,342,125.9,15.82
486,Tremelo,Tremelo,Tremelo,Tremelo,Vlaams-Brabant,2,13339,15417,21.89,704,120.8,15.58
19,Geel,Geel,Geel,Geel,Antwerpen,1,33677,42331,110.2,384,108.3,25.7
52,Rijkevorsel,Rijkevorsel,Rijkevorsel,Rijkevorsel,Antwerpen,1,10455,12561,46.84,268,99.0,20.14
81,Sint-Gillis,Saint-Gilles,Saint-Gilles,Saint-Gilles,Brussels Hoofdstedelijk Gewest,1,42458,49293,2.53,19483,76.1,16.1
87,Vorst,Forest,Forest,Forest,Brussels Hoofdstedelijk Gewest,1,45555,58044,6.29,9228,82.2,27.42
135,Lobbes,Lobbes,Lobbes,Lobbes,Henegouwen,4,5520,5949,32.23,185,104.8,7.77
